timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1709439720000,2024-03-03T04:22:00Z,899-1-1-05,,device_not_recording
1709439780000,2024-03-03T04:23:00Z,899-1-1-05,,device_not_recording
1709439840000,2024-03-03T04:24:00Z,899-1-1-05,,device_not_recording
1709439900000,2024-03-03T04:25:00Z,899-1-1-05,,device_not_recording
1709439960000,2024-03-03T04:26:00Z,899-1-1-05,,device_not_recording
1709440020000,2024-03-03T04:27:00Z,899-1-1-05,,device_not_recording
1709440080000,2024-03-03T04:28:00Z,899-1-1-05,,device_not_recording
1709440140000,2024-03-03T04:29:00Z,899-1-1-05,,device_not_recording
1709440200000,2024-03-03T04:30:00Z,899-1-1-05,,device_not_recording
1709440260000,2024-03-03T04:31:00Z,899-1-1-05,,device_not_recording
1709440320000,2024-03-03T04:32:00Z,899-1-1-05,,device_not_recording
1709440380000,2024-03-03T04:33:00Z,899-1-1-05,,device_not_recording
1709440440000,2024-03-03T04:34:00Z,899-1-1-05,,device_not_recording
1709440500000,2024-03-03T04:35:00Z,899-1-1-05,,device_not_recording
1709440560000,2024-03-03T04:36:00Z,899-1-1-05,,device_not_recording
1709440620000,2024-03-03T04:37:00Z,899-1-1-05,,device_not_recording
1709440680000,2024-03-03T04:38:00Z,899-1-1-05,,device_not_recording
1709440740000,2024-03-03T04:39:00Z,899-1-1-05,,device_not_recording
1709440800000,2024-03-03T04:40:00Z,899-1-1-05,,device_not_recording
1709440860000,2024-03-03T04:41:00Z,899-1-1-05,,device_not_recording
1709440920000,2024-03-03T04:42:00Z,899-1-1-05,,device_not_recording
1709440980000,2024-03-03T04:43:00Z,899-1-1-05,,device_not_recording
1709441040000,2024-03-03T04:44:00Z,899-1-1-05,,device_not_recording
1709441100000,2024-03-03T04:45:00Z,899-1-1-05,,device_not_recording
1709441160000,2024-03-03T04:46:00Z,899-1-1-05,,device_not_recording
1709441220000,2024-03-03T04:47:00Z,899-1-1-05,,device_not_recording
1709441280000,2024-03-03T04:48:00Z,899-1-1-05,,device_not_recording
1709441340000,2024-03-03T04:49:00Z,899-1-1-05,,device_not_recording
1709441400000,2024-03-03T04:50:00Z,899-1-1-05,,device_not_recording
1709441460000,2024-03-03T04:51:00Z,899-1-1-05,,device_not_recording
1709441520000,2024-03-03T04:52:00Z,899-1-1-05,,device_not_recording
1709441580000,2024-03-03T04:53:00Z,899-1-1-05,,device_not_recording
1709441640000,2024-03-03T04:54:00Z,899-1-1-05,,device_not_recording
1709441700000,2024-03-03T04:55:00Z,899-1-1-05,,device_not_recording
1709441760000,2024-03-03T04:56:00Z,899-1-1-05,,device_not_recording
1709441820000,2024-03-03T04:57:00Z,899-1-1-05,,device_not_recording
1709441880000,2024-03-03T04:58:00Z,899-1-1-05,,device_not_recording
1709441940000,2024-03-03T04:59:00Z,899-1-1-05,,device_not_recording
